16 22106 83718
10 18 -665.73 613.29
0 19 -504.44 333.07
1 19 -163.26 468.32
5 19 -110.03 -323.79
7 19 -717.1 334.9
8 19 -577.03 22.11
10 19 -738.15 490.09
15 19 -763.39 525.87
0 20 -536.52 287.7
1 20 -203.52 433.3
7 20 -744.57 282.44
13 20 -243.53 -37.74
15 20 -799.69 458.79
0 21 -526.79 277.59
1 21 -196.67 421.46
5 21 -141.43 -384.39
7 21 -732.69 272.94
10 21 -757.47 420.34
11 21 -327.78 -460.61
13 21 -236.21 -46.05
14 21 -222.18 -481.22
15 21 -784.36 445.9
0 22 -479.72 407.83
1 22 -122.83 534.02
5 22 -74.3 -243.94
7 22 -702 419.15
8 22 -554.19 100.39
11 22 -276.38 -345.84
13 22 -191.7 70.3
14 22 -156.76 -338.14
0 23 -433.59 406.27
1 23 -79.28 521.74
2 23 -723.76 145.21
5 23 -29.13 -247.14
7 23 -652.79 422.71
8 23 -512.31 99.55
10 23 -661.3 586.92
11 23 -236.4 -348.09
13 23 -154.6 70.47
14 23 -111.52 -339.96
0 24 -517.14 370.95
1 24 -166.43 507.57
5 24 -116.85 -282.15
7 24 -736.59 374.88
8 24 -589.07 61.62
10 24 -760.14 536.29
11 24 -311.24 -377.1
13 24 -223.34 36.3
14 24 -198.6 -377.87
15 24 -788.7 578.49
0 25 -428.91 422.44
1 25 -71.36 536.37
2 25 -718.93 166.08
4 25 3.25 -112.54
5 25 -22.32 -229.46
7 25 -650.54 440.52
8 25 -508.33 116.31
10 25 -657.76 607.51
11 25 -231.61 -334.19
12 25 -780.93 352.16
13 25 -150.78 84.48
14 25 -105.45 -322.87
0 26 -506.95 400.71
1 26 -150.25 533.48
5 26 -102.1 -250.73
7 26 -729.98 408.08
8 26 -579.09 92.37
10 26 -752.75 574.64
11 26 -300.49 -351.95
13 26 -214.13 63.09
14 26 -184.52 -345.53
0 27 -447.89 360.99
1 27 -104.68 482.24
5 27 -47.01 -295.67
7 27 -660.24 372.67
10 27 -671.67 529.23
11 27 -252.85 -386.9
12 27 -792.56 272.46
13 27 -166.09 30.48
15 27 -689.55 573.4
0 28 -371.77 334.94
1 28 -36.33 438.46
4 28 -50.23 -132.83
5 28 23.13 -325.78
7 28 -577.86 353.48
10 28 -573.67 503.2
11 28 -185.73 -412.36
13 28 -107.28 10.37
14 28 -58.21 -418.01
15 28 -577.12 546.18
0 29 292.94 -240.73
1 29 378.7 -300.83
12 29 376.97 -126.93
15 29 397.15 -151.04
0 30 -228.75 454.24
1 30 132.2 519.54
2 30 -509.01 204.16
4 30 4.53003 -223.66
8 30 -338.66 150.7
11 30 -55.45 -307.44
12 30 -549.92 419.91
14 30 92.03 -289.19
0 31 -456.85 349.16
1 31 -114.49 472.77
4 31 -34.36 -89.72
7 31 -668.69 358.58
8 31 -531.93 41.15
11 31 -260.03 -397.53
12 31 -801.64 255.02
15 31 -698.87 556.02
0 32 -371.76 353.47
1 32 -31.98 456.35
5 32 25.56 -305.21
7 32 -580.57 373.65
8 32 -457.03 48.3
11 32 -184.43 -395.25
12 32 -700.07 273.47
13 32 -106.47 26.95
14 32 -56.03 -397.32
15 32 -580.61 572.84
0 33 -368.68 420.09
1 33 -13.58 519.91
2 33 -653.68 162.59
7 33 -586.86 444.59
14 33 -46.55 -325.59
0 34 -432.42 418.92
1 34 -75.21 534
2 34 -722.29 162.6
7 34 -653.57 436.73
10 34 -662.04 602.9
14 34 -108.98 -326.03
0 35 -324.09 399.78
1 35 25.03 489.61
2 35 -605.63 137.16
7 35 -537.91 428.05
10 35 -525.2 587.43
14 35 -5.03003 -347.17
0 36 -322.72 404.57
1 36 27.38 493.7
2 36 -604.55 143.24
5 36 80.33 -250.65
7 36 -537.02 433.87
8 36 -415.96 100.39
10 36 -524.04 593.12
11 36 -139.5 -350.71
14 36 -3.22998 -342.12
0 37 -451.21 294.92
1 37 -119.69 419.27
7 37 -657.01 299.68
12 37 -789.15 180.29
15 37 -680.96 479.79
0 38 -536.75 433.15
1 38 -170.91 570.89
5 38 -126.41 -216.05
7 38 -767.37 439.82
10 38 -796.87 613.7
14 38 -208.92 -311.69
0 39 -357.2 486.93
1 39 12.86 582.17
2 39 -641.92 245.95
5 39 55.09 -163.18
12 39 -705.45 443.41
0 40 -107.8 509.75
1 40 267.81 545.69
2 40 -393.25 271.26
3 40 -520.56 -59.33
5 40 299.72 -140.23
7 40 -334.1 567.11
8 40 -243.81 204.96
11 40 51.05 -258.45
12 40 -423.62 505.52
0 41 2.10998 549.5
1 41 391.61 559.46
14 41 315.64 -185.36
0 42 148.75 563.06
1 42 552.71 538.28
2 42 -163.22 330.85
3 42 -298.13 -3.32001
4 42 42.73 -457.72
5 42 550.9 -81.03
6 42 -327.84 632.29
9 42 -293.08 356.43
11 42 276.42 -203.58
12 42 -158.28 602.06
13 42 305.87 232.15
14 42 455.02 -165.03
0 43 -118.85 529.87
1 43 261.56 568.65
2 43 -405.17 294.61
5 43 290.03 -119.38
7 43 -347.93 586.97
12 43 -439.46 528.3
0 44 -203.63 513.69
1 44 171.46 572.56
2 44 -486.54 276.3
3 44 -612.68 -52.27
5 44 206.79 -136.52
7 44 -430.84 561.48
11 44 -32.87 -256.45
12 44 -531.98 497.39
0 45 71.31 570.13
1 45 470.4 564.02
2 45 -232.05 338.49
6 45 -413.1 626.1
9 45 -352.07 361.42
12 45 -240.31 600.34
14 45 380.94 -161.88
0 46 176.43 -36.12
1 46 320.18 -58.73
3 46 243.85 -272.65
4 46 -323.59 -556.18
6 46 174.86 37.91
7 46 98.14 108.14
8 46 313.37 -20.66
10 46 114.68 117.44
12 46 195.39 84.68
13 46 534.2 -237.36
15 46 209.29 112.07
0 47 90.95 91.74
1 47 277.85 92.73
5 47 737.66 -568.7
10 47 3.11999 256.68
12 47 58.72 196.8
13 47 448.99 -138.48
15 47 76.91 274.3
0 48 -91.43 105.76
1 48 125.96 153.1
3 48 -171.87 -295.36
5 48 464.03 -562.93
6 48 -258.03 75.91
7 48 -214.48 189.93
9 48 -182.46 99.46
10 48 -211.55 255.23
12 48 -207.87 128.21
15 48 -167.81 268.03
0 49 547.5 215.25
1 49 842.67 73.7
3 49 286.92 -149.37
7 49 370.39 378.09
8 49 408.86 111.92
9 49 224.8 241.16
10 49 524.82 452.14
13 49 744.08 -15.18
15 49 709.29 513.05
0 50 26.73 141.97
1 50 235.94 158.93
3 50 1.29999 -174.3
4 50 -182.76 -429.79
5 50 636.21 -512.03
7 50 -88.66 254.2
10 50 -77.6 309.17
12 50 -47.88 228.98
15 50 -16 334.71
0 51 205.12 84.93
1 51 392.35 52.75
3 51 198.02 -173.19
6 51 146.96 170.23
7 51 102.31 230.65
8 51 287.63 70.06
10 51 134.16 260.23
12 51 178.49 217.68
13 51 533.04 -134.31
0 52 136.44 73.83
1 52 316.33 61.77
2 52 257.07 125.23
3 52 156.12 -188.2
4 52 -238.58 -520.35
6 52 87.78 142.58
7 52 38.13 208.82
8 52 244.84 56.85
9 52 99.75 198.96
10 52 56.94 241
12 52 112.32 193.83
13 52 482.1 -147.88
15 52 140.69 256.73
0 53 94.16 74.65
1 53 274.54 74.96
2 53 215.8 118.67
3 53 117.65 -195.35
4 53 -232.74 -486.81
6 53 42.44 131.2
7 53 -3.82001 203.06
8 53 209.93 51.21
10 53 8.09003 237.4
12 53 64.7 184.12
13 53 445.88 -150.42
15 53 83.01 252.05
0 54 209.46 475.5
1 54 594.77 431.11
2 54 -99.35 233.73
5 54 612.69 -171.87
6 54 -244.92 531.72
7 54 -22.27 564.51
8 54 -2.03003 181.05
11 54 338.67 -276.68
12 54 -78.45 508.61
13 54 356.6 160.84
14 54 518.43 -253.3
0 55 23.29 125.82
1 55 226.43 144.27
2 55 103.7 132.83
3 55 9.03998 -184.8
5 55 637.04 -529.17
6 55 -73.06 159.24
7 55 -88 238.89
10 55 -79.59 290.28
12 55 -44.73 212.73
13 55 368.63 -115.67
15 55 -18.85 312.24
0 56 57.2 56.54
1 56 232.75 67.75
2 56 186.04 94.05
3 56 92.18 -219.13
5 56 702.57 -604.39
6 56 9.23999 99.94
7 56 -37.56 179.13
8 56 184.45 30.75
10 56 -33.1 212.12
12 56 28.02 153.95
13 56 416.44 -168.86
15 56 35.18 222.02
0 57 209.46 475.5
1 57 594.77 431.11
2 57 -99.35 233.73
4 57 -14.21 -491.85
5 57 612.69 -171.87
6 57 -244.92 531.72
7 57 -22.27 564.51
8 57 -2.03003 181.05
11 57 338.67 -276.68
12 57 -78.45 508.61
13 57 356.6 160.84
14 57 518.43 -253.3
0 58 486.2 356.85
1 58 837.31 237.72
2 58 275.61 238.57
3 58 135 -87.42
6 58 179.08 482.87
7 58 278.8 496.58
10 58 441.57 615.04
12 58 290.63 475.34
0 59 206.03 436.51
1 59 580.2 390.76
2 59 -98.93 191.3
3 59 -238.87 -140.02
5 59 609.1 -213.27
7 59 -20.75 524.48
8 59 -1.27002 146.78
9 59 -232.34 236.59
11 59 339.35 -311.5
12 59 -75.19 463.81
13 59 354.49 127.88
14 59 516.42 -294.15
0 60 -41.65 5.60998
1 60 126.54 45.43
2 60 84.05 2.94
3 60 -1.89002 -309.19
7 60 -131.57 109.42
8 60 99.83 -42.61
15 60 -90.91 139.14
0 61 29.59 429.02
1 61 389.96 429.22
2 61 -256.86 178.75
3 61 -391.66 -152.24
4 61 -28.7 -372.19
5 61 431.39 -223.56
7 61 -189.05 498.45
8 61 -132.49 135.19
12 61 -260.52 430.4
13 61 214.24 111.29
14 61 342.57 -308.84
0 62 532.51 207.76
1 62 824.29 69.31
3 62 272.62 -162.13
8 62 396 101.81
9 62 210.64 226.37
10 62 507.38 440.73
15 62 688.82 499.29
0 63 44.94 -156.42
1 63 154.9 -136.39
2 63 260.76 -122.15
3 63 175.17 -423.42
4 63 -392.42 -446.42
6 63 77.73 -140.69
7 63 -11.17 -33.94
8 63 237.63 -150.89
10 63 -24.77 -35.18
12 63 83.28 -93.06
15 63 46.49 -68.79
0 64 -98.79 -222.32
1 64 8.96997 -157.59
4 64 -419.27 -320.72
7 64 -152.43 -132.57
8 64 97.73 -274.52
9 64 -17.82 -145.52
10 64 -183.89 -126.35
12 64 -87.7 -236.56
13 64 294.78 -433.13
15 64 -136.02 -177.24
0 65 174.74 -242.26
1 65 253.21 -260.7
2 65 430.33 -169.71
3 65 339.65 -464.53
4 65 -487.03 -558.3
6 65 252.37 -187.72
7 65 133.29 -94.27
8 65 377.51 -193.6
9 65 256.84 -38.06
10 65 133.55 -120.36
12 65 263.51 -150.17
15 65 233.42 -168.15
0 66 143.16 66.54
1 66 320.11 52.73
2 66 267.98 121.95
3 66 166.05 -191.16
4 66 -244.24 -526.28
6 66 99.25 137.52
7 66 46.46 203.15
8 66 253.16 53.89
9 66 108.37 196.21
10 66 65.97 233.23
13 66 489.91 -153.07
0 67 65.96 -83.72
1 67 198.09 -71.99
2 67 250.62 -42.97
3 67 160.27 -348.63
4 67 -341.45 -463.55
6 67 71.46 -52.69
7 67 -3.72998 41.87
8 67 232.84 -84.34
10 67 -8.08002 50.87
12 67 83.14 -3.03003
13 67 442.67 -288.29
0 68 73.03 -123.6
1 68 193.35 -113.18
3 68 181.99 -388.3
7 68 9.41998 2.76001
10 68 3.85998 5.25
13 68 452.92 -323.51
15 68 79.72 -21.25
0 69 580.17 198.74
1 69 871.49 45.99
2 69 465.46 169.05
6 69 378.54 349.76
7 69 404.91 367.66
8 69 442.35 111.41
9 69 258.39 239.61
12 69 464.89 358.71
13 69 778.15 -25.87
0 70 121.98 -88.93
1 70 250.38 -94.45
2 70 309.96 -34.66
3 70 215.56 -337.02
4 70 -354.3 -509.92
6 70 134.85 -40.78
7 70 53.13 46.41
8 70 282.45 -77.83
10 70 57.29 50.51
12 70 149.82 5.81
13 70 493.18 -288.53
15 70 142.2 32.88
0 71 652.25 -57.18
1 71 866.1 -248.07
2 71 615.1 -56.22
3 71 484.96 -359.68
7 71 510.12 134.58
8 71 562.96 -77.35
10 71 668.79 143.33
0 72 38.98 -98.63
1 72 168.82 -78.81
3 72 135.81 -375.9
6 72 43.41 -81.14
7 72 -28.95 21.52
8 72 210.22 -106.91
9 72 82.14 34.67
10 72 -37.79 30.93
12 72 53.91 -31
13 72 418.63 -304.44
15 72 31.18 8.48999
0 73 207.53 161.3
1 73 428.56 125.54
2 73 243.53 170.63
3 73 133.15 -147.83
10 73 131.3 350.74
13 73 508.2 -75.7
14 73 720.17 -563.8
15 73 231.07 386.91
0 74 209.54 324.19
1 74 543.63 275.99
7 74 4.84003 417.8
13 74 383.67 32.93
14 74 555.32 -415.01
0 75 164.66 -109.6
1 75 288.09 -128.49
3 75 256.83 -351.94
6 75 182.74 -50.61
7 75 97.27 32.54
8 75 319.89 -90.29
10 75 108.66 31.42
13 75 530.59 -303.71
15 75 203.2 10.56
0 76 39.57 -91.28
1 76 171.45 -71.82
2 76 222.69 -61.8
3 76 134.72 -367.11
6 76 42.33 -71.97
7 76 -29.52 29.1
8 76 209.5 -98.96
9 76 81.26 42.29
10 76 -38.01 39.42
13 76 418.75 -297.85
15 76 30.92 18.52
0 77 37.38 -108.34
1 77 164.37 -87.5
2 77 223.8 -82.85
3 77 136.59 -386.98
6 77 43.21 -95.18
7 77 -29.81 11.45
10 77 -37.71 19.84
12 77 53.34 -44.89
15 77 29.6 -4.69
0 78 237.13 522.23
1 78 638.1 472.91
3 78 -221.96 -47.69
9 78 -222.38 320.5
0 79 324.59 516.81
1 79 735.26 444.88
4 79 4.12 -574.51
5 79 728.44 -123.19
6 79 -132.66 608.71
9 79 -157.03 320.29
11 79 440.17 -234.22
0 80 593.28 156.15
1 80 871.48 -2.41998
2 80 490.13 134.41
3 80 352.8 -179.2
6 80 404.59 309.25
8 80 461.87 82.48
9 80 280 211.7
10 80 582.77 386.13
12 80 489.68 317.81
13 80 796.3 -61.36
0 81 137.8 -107.83
1 81 261.44 -117.87
2 81 328.88 -52.3
3 81 234.28 -355.54
6 81 155.27 -56.59
7 81 70.91 29.97
8 81 298.23 -92.36
10 81 77.31 30.42
12 81 171.58 -11.19
13 81 507.38 -303.93
15 81 166.01 9.29999
0 82 118.09 426.43
1 82 482.75 403.77
2 82 -175.51 176.44
3 82 -312.64 -155.51
4 82 -37.28 -427.96
7 82 -103.11 504.78
8 82 -64.75 134.14
9 82 -296.95 220.49
13 82 284.98 113.53
14 82 430.08 -309.12
0 83 187.53 14.86
1 83 348.52 -11.93
2 83 329.93 82.63
3 83 226.66 -227.21
4 83 -287.43 -563.91
7 83 99.05 159.38
8 83 304.51 20.94
10 83 121.1 177.28
13 83 535.27 -193.22
15 83 219.2 182.99
0 84 101.25 -47.21
1 84 242.51 -46.95
2 84 276.17 7.28998
3 84 181.7 -299.26
4 84 -319.23 -494.17
7 84 25.86 84.61
8 84 255.35 -42.11
9 84 121.99 101.41
10 84 28.23 96.66
15 84 108.14 86.75
0 85 101.12 -60.98
1 85 237.81 -60.8
2 85 281.04 -6.87
3 85 187.33 -312.39
7 85 28 70.91
8 85 259.44 -54.42
10 85 29.49 81.14
13 85 472.25 -264.64
0 86 182.51 -83.96
1 86 313.08 -108.57
2 86 362.37 -17.48
3 86 264.13 -320.82
6 86 192.5 -16
8 86 327.22 -63.47
10 86 126.79 62.78
13 86 543.76 -279.29
0 87 2.61999 -47.85
1 87 149.92 -18.78
2 87 163.83 -29.02
3 87 76.34 -336.43
6 87 -18.68 -36.24
7 87 -75.13 65.56
8 87 161.82 -70.32
9 87 30.43 67.02
10 87 -85.62 86.06
12 87 -7.35998 17.09
13 87 378.93 -263.36
15 87 -25.13 72.86
0 88 -17.64 -48.46
1 88 131.77 -13.71
2 88 138.08 -39.88
3 88 52.56 -348.08
4 88 -304 -395.91
6 88 -44.19 -45.85
7 88 -95.89 60.44
8 88 141.53 -78.61
9 88 12.98 57.58
10 88 -108.17 82.95
12 88 -31.97 8.42999
13 88 359.42 -266.38
15 88 -51.04 68.88
0 89 89.09 387.33
1 89 442.16 372.41
2 89 -197.21 130.3
7 89 -125.14 461.62
11 89 235.91 -360.86
14 89 401.86 -351.17
0 90 552.77 246.82
1 90 857.91 105.02
2 90 422.29 204.18
3 90 284.51 -115.62
7 90 371.25 409.67
8 90 407.72 140.73
9 90 220.84 267.79
10 90 528.49 489.54
11 90 679.73 -477.48
12 90 421.31 401.35
13 90 745.24 11.6
15 90 712.85 557.52
0 91 -558.07 391
1 91 -200.07 535.97
5 91 -153.95 -259.5
7 91 -784.06 392.46
10 91 -816.72 559.21
11 91 -344.75 -358.59
14 91 -235.81 -355.59
0 92 -278.41 -463.62
1 92 -225.56 -327.84
4 92 -575.5 -168.93
6 92 -213.47 -669.71
0 93 -495.23 379.61
1 93 -143.96 510.68
10 93 -734.44 548.94
14 93 -175.53 -368.86
0 94 -543.21 356.16
1 94 -194.08 499.36
5 94 -144.64 -297.75
14 94 -226.29 -393.83
15 94 -822.46 554.09
0 95 -352.07 469.5
1 95 13.86 564.05
2 95 -636.26 224.87
5 95 57.9 -181.24
7 95 -576.83 499.41
11 95 -162.16 -294.12
14 95 -26.32 -273.68
0 96 -379.55 453.51
1 96 -16.41 554.78
7 96 -602.84 479.26
11 96 -187.21 -307.97
12 96 -726.06 398.3
0 97 -350.87 399.86
1 97 -0.880005 495.77
2 97 -634.81 137.41
5 97 51.79 -255.6
7 97 -565.7 425.27
10 97 -558.12 585.57
11 97 -164.29 -354.53
14 97 -31.43 -347.14
0 98 -499.3 404.09
1 98 -142.23 535.04
5 98 -94.15 -247.23
8 98 -572.15 96.28
10 98 -743.71 579.86
0 99 -543.4 428.51
1 99 -177.88 567.76
5 99 -133.42 -220.54
7 99 -773.7 434.29
11 99 -328.57 -327.33
13 99 -241.47 85.29
14 99 -215.73 -316.63
0 100 -428.86 397.79
1 100 -76.73 512.49
2 100 -718.85 133.84
7 100 -646.59 413.84
8 100 -508.15 90.78
10 100 -654.21 576.49
12 100 -776.57 320.5
14 100 -108.09 -349.44
0 101 -430.56 472.96
1 101 -61.25 585.4
2 101 -720.19 229.86
5 101 -17.7 -176.61
8 101 -510.76 165.65
12 101 -791.33 415.78
14 101 -101.28 -270.37
0 102 -447 391.44
1 102 -95.48 510.71
5 102 -44.65 -261.99
7 102 -664.8 405.06
8 102 -524.54 83.95
11 102 -249 -360.92
12 102 -798 309.82
13 102 -166.07 56.71
14 102 -126.74 -356.29
0 103 -512.32 444.25
1 103 -145.42 575.87
5 103 -100.8 -205.26
7 103 -742.46 455.05
14 103 -183.69 -300.3
0 104 -424.46 456.34
1 104 -59.28 568.17
2 104 -713.81 208.68
5 104 -13.79 -193.94
11 104 -226.03 -304.96
14 104 -97.26 -287.55
0 105 -447.36 399.7
1 105 -94.03 519.06
7 105 -666.16 414.04
10 105 -677.29 577.77
12 105 -799.23 320.43
14 105 -125.92 -347.29
0 106 -484.68 384.88
1 106 -132.77 513.2
4 106 -12.29 -80.86
11 106 -282.48 -366.1
0 107 -540.09 439.52
1 107 -172.6 577.69
0 108 -124.98 109.32
1 108 99.92 164.7
2 108 -139.49 1.04999
5 108 412.39 -560.59
6 108 -319.19 62.59
7 108 -252.93 185.63
10 108 -250.35 256.66
12 108 -259.19 115.15
15 108 -211.99 268.53
0 109 -426.93 428.86
1 109 -68.88 542.17
4 109 6.32001 -113.88
5 109 -19.48 -223.08
8 109 -506.41 122.37
10 109 -657.1 615.28
11 109 -230.58 -328.85
12 109 -779.96 359.97
13 109 -148.69 89.59
14 109 -102.96 -316.67
0 110 -315.99 418.8
1 110 37.53 505.8
2 110 -596.57 160.5
4 110 -8.31 -172.58
5 110 89.39 -236.31
7 110 -531.68 448.78
8 110 -409.18 113.92
10 110 -517.74 611.09
12 110 -643.89 363.48
13 110 -59.67 85.34
14 110 5.16998 -327.15
0 111 40.16 -231.6
1 111 125.8 -207.19
3 111 211.92 -495.01
6 111 106.25 -224.75
7 111 -1.28003 -108.5
8 111 261 -214.36
9 111 146.8 -65.21
12 111 105.53 -180.55
13 111 442.71 -420.81
15 111 49.58 -171.15
0 112 -1.08002 -222.74
1 112 90.26 -185.6
2 112 241.15 -204.29
3 112 161.87 -503.76
4 112 -435.3 -408.25
6 112 53.42 -232.06
7 112 -44.95 -107.92
8 112 216.47 -219.08
10 112 -71.93 -116.13
12 112 51.28 -184.83
13 112 402.97 -417.02
15 112 -7.22998 -164.36
0 113 44.28 -232.03
1 113 129.59 -208.89
3 113 217.04 -493.08
4 113 -451.23 -447.08
6 113 111.64 -223.23
7 113 3.14002 -108.22
8 113 265.53 -213.01
9 113 151.49 -64.03
10 113 -17.51 -122.81
12 113 111.27 -179.08
15 113 55.37 -171.06
0 114 23.58 110.74
1 114 220.99 129.66
2 114 114.29 123.15
5 114 642.89 -545.32
6 114 -63.28 144.23
7 114 -84.2 224.71
10 114 -77.79 272.56
12 114 -37.03 198.11
15 114 -16.79 291.68
0 115 -60.75 69.04
1 115 131.12 111.27
3 115 -64.25 -268.54
4 115 -220 -361.5
5 115 540.84 -597.55
6 115 -158.75 64.37
7 115 -165.47 166.62
8 115 53.49 -2.94
10 115 -171.09 213.57
12 115 -132.63 120.27
13 115 296.25 -171.36
15 115 -124.58 222.24
0 116 62.88 509.48
1 116 445.89 503.48
2 116 -234.35 271.6
3 116 -367.36 -61.26
5 116 466.65 -138.19
6 116 -410.86 546.51
7 116 -167.29 584.1
8 116 -113.71 208.22
9 116 -351.39 302.18
12 116 -238.89 528.68
14 116 373.79 -223.86
0 117 131.7 13.95
1 117 291.15 4.32001
2 117 282.58 74.85
3 117 183.9 -235.04
4 117 -279.42 -519.25
6 117 110.08 79.68
7 117 45.55 150.26
8 117 262.97 13.98
10 117 57.53 170.99
13 117 489.34 -197.59
0 118 -35.58 488.65
1 118 337.28 506.68
5 118 369.24 -161.92
6 118 -516.94 499.11
7 118 -260.25 552.53
8 118 -186.58 186.75
9 118 -426.42 277.45
11 118 115.93 -274.77
12 118 -340.9 489.89
13 118 162.38 158.41
14 118 279.37 -248.7
0 119 556.01 253.42
1 119 863.5 111.38
2 119 423.86 211.72
6 119 333.76 402.25
8 119 408.4 146.82
9 119 221.64 274.45
10 119 531.56 497.9
11 119 681.18 -470.29
12 119 422.76 409.2
15 119 716.22 567.61
0 120 1.66998 491.52
1 120 376.9 500.03
2 120 -289.24 249.73
3 120 -420.16 -81.37
4 120 9.34998 -360.15
5 120 405.9 -158.94
6 120 -475.35 509.55
7 120 -224.2 558.8
8 120 -158.26 189.8
9 120 -396.66 281.27
11 120 149.11 -271.37
12 120 -300.81 497.99
0 121 -40.18 490.95
1 121 332.65 510.03
2 121 -327.73 249.64
4 121 12.54 -335.42
5 121 365.3 -159.05
6 121 -522.04 502.86
7 121 -265.06 554.37
8 121 -189.64 189.73
11 121 111.52 -272.59
12 121 -345.23 493.68
13 121 158.5 159.92
14 121 274.7 -246.36
0 122 118.38 0.409973
1 122 274.52 -5.5
2 122 275.56 59.36
3 122 177.73 -249.16
4 122 -288.15 -512.62
6 122 110.22 63.58
7 122 35.49 134.94
8 122 254.72 1.67999
10 122 44.68 153.69
13 122 479.96 -210.37
15 122 125.31 154.04
0 123 559.8 157.77
1 123 836.81 8.58002
7 123 390.1 324.45
10 123 543.67 385.04
12 123 451.06 305.95
15 123 732.43 433.17
0 124 -26.09 503.08
1 124 351.15 519.11
2 124 -315.47 264.71
3 124 -445.18 -67.36
4 124 18.73 -344.71
5 124 379.14 -146.28
6 124 -509.04 520.88
7 124 -252.39 568.89
12 124 -333.61 509.34
0 125 127.29 448.37
1 125 498.32 423.91
2 125 -169.75 203.1
3 125 -306.52 -129.23
4 125 -24.9 -435.44
5 125 529.77 -202.37
7 125 -97.35 528.57
8 125 -60.19 154.82
12 125 -159.27 466.03
13 125 291.7 133.63
14 125 438.38 -284.71
0 126 311.26 575.3
1 126 737.98 511.16
2 126 -25.35 343.77
9 126 -176.19 372.14
13 126 432.97 252.49
14 126 610.15 -144.72
0 127 -112.24 497.29
1 127 260.42 534.45
2 127 -396.27 257.31
7 127 -336.73 554.07
